Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,432.9,346.32,402.6,35909.06
Bank of America,231.5,185.2,215.3,19202.92
Industrial and Commercial Bank of China,194.5,155.6,180.89,16133.78
Agricultural Bank of China,160.6,128.48,149.36,13321.77
HDFC Bank,157.9,126.32,146.85,13097.8
Wells Fargo,155.8,124.64,144.89,12923.61
HSBC Holdings PLC,148.9,119.12,138.48,12351.26
Morgan Stanley,140.8,112.64,130.94,11679.36
China Construction Bank,139.8,111.84,130.01,11596.41
Bank of China,136.8,109.44,127.22,11347.56
